resist	machine
16.11	A
15.71	A
15.65	A
13.67	A
14.33	A
15.03	A
15.09	A
15.39	A
15.09	A
15.4	A
15.29	A
15.1	A
16.59	A
15.08	A
14.88	A
14.45	A
15.43	A
15.29	A
14.42	A
13.75	A
15.5	A
14.23	A
14.3	A
18.67	B
19.61	B
18.21	B
19.37	B
19.24	B
19.48	B
18.48	B
18	B
18.17	B
19.58	B
19.35	B
18.66	B
19.67	B
18.18	B
18.93	B
18.91	B
19.18	B
18.42	B
20.25	B
17.97	B
20.23	B
15.42	C
15.64	C
15.37	C
14.9	C
16.04	C
16.36	C
16.38	C
15.77	C
15.53	C
16.32	C
15.83	C
14.53	C
15.72	C
15.82	C
14.04	C
16.02	C
15.92	C
15.38	C
15.74	C
15.22	C
15.14	C
15.33	C
15.64	C
15.93	C
14.7	C
15.6	C
15.18	C
15.2	C
